Onliner ID;Раздел;Производитель;Товар;Артикул;id-предложения;Цена;Валюта;Описание предложения;Изготовитель;Импортер;Сервисный центр;Гарантия;Срок доставки по Минску;Срок доставки по РБ;Только для юр. лиц;Наличие на складе;В наличии на складе;Срок рассрочки по Халве;Onliner Prime;Цена по промокоду;Повышенная рассрочка Minipay;Кредит на «Родныя тавары»
4821697;3D-принтеры и 3D-сканеры;Bambu Lab;A1 Combo EU;nan;;1773,49;BYN;Опт. Цены с НДС. Товары в наличии 1 шт, точное количество уточняйте. Цена действительна в день заказа. Доставка только в будние дни. Выходные дни в сроке заказа не учитываются.;Bambu Lab;"ООО ""АйТи Дистрибуция"". Минский район, Боровлянский сельсовет, 103/3-7;";"ЧП ""МобиЛАБ СЦ"". г. Минск, ул. Толбухина, 2А";12;5;7;Да;;Нет;;Нет;0;Нет;Нет
4828318;3D-принтеры и 3D-сканеры;Bambu Lab;A1 mini EU;6975337036173;;844,83;BYN;Опт. Цены с НДС. Товары в наличии 1 шт, точное количество уточняйте. Цена действительна в день заказа. Доставка только в будние дни. Выходные дни в сроке заказа не учитываются.;Bambu Lab;"ООО ""АйТи Дистрибуция"". Минский район, Боровлянский сельсовет, 103/3-7;";"ЧП ""МобиЛАБ СЦ"". г. Минск, ул. Толбухина, 2А";12;8;10;Да;;Нет;;Нет;0;Нет;Нет
4753507;3D-принтеры и 3D-сканеры;Bambu Lab;P1 S Combo;PF001-U+SA001-EU, 6975337033165;;2809,66;BYN;Опт. Цены с НДС. Товары в наличии 1 шт, точное количество уточняйте. Цена действительна в день заказа. Доставка только в будние дни. Выходные дни в сроке заказа не учитываются.;Bambu Lab;"ООО ""АйТи Дистрибуция"". Минский район, Боровлянский сельсовет, 103/3-7;";"ЧП ""МобиЛАБ СЦ"". г. Минск, ул. Толбухина, 2А";12;8;10;Да;;Нет;;Нет;0;Нет;Нет
4769024;3D-принтеры и 3D-сканеры;Creality;Ender-5 Max;Ender-5 Max, 6971636406747;;2983,24;BYN;Опт. Цены с НДС. Товары в наличии 1 шт, точное количество уточняйте. Цена действительна в день заказа. Доставка только в будние дни. Выходные дни в сроке заказа не учитываются.;Creality;"ООО ""АйТи Дистрибуция"". Минский район, Боровлянский сельсовет, 103/3-7;";"ЧП ""МобиЛАБ СЦ"". г. Минск, ул. Толбухина, 2А";12;5;7;Да;;Нет;;Нет;0;Нет;Нет
2626667;DSL-модемы и маршрутизаторы;D-Link;DSL-224/R1A;DSL-224/R1A;;124,72;BYN;Опт. Цены с НДС. Товары в наличии 1 шт, точное количество уточняйте. Цена действительна в день заказа. Доставка только в будние дни. Выходные дни в сроке заказа не учитываются.;D-Link;"ООО ""АйТи Дистрибуция"". Минский район, Боровлянский сельсовет, 103/3-7;";"ЧП ""МобиЛАБ СЦ"". г. Минск, ул. Толбухина, 2А";12;5;7;Да;;Нет;;Нет;0;Нет;Нет
1775925;DSL-модемы и маршрутизаторы;D-Link;DSL-245GR/R1A;DSL-245GR/R1A;;251,41;BYN;Опт. Цены с НДС. Товары в наличии 1 шт, точное количество уточняйте. Цена действительна в день заказа. Доставка только в будние дни. Выходные дни в сроке заказа не учитываются.;D-Link;"ООО ""АйТи Дистрибуция"". Минский район, Боровлянский сельсовет, 103/3-7;";"ЧП ""МобиЛАБ СЦ"". г. Минск, ул. Толбухина, 2А";12;5;7;Да;;Нет;;Нет;0;Нет;Нет
2599276;DSL-модемы и маршрутизаторы;D-Link;DSL-2640U/R1A;DSL-2640U/R1A;;89,06;BYN;Опт. Цены с НДС. Товары в наличии 1 шт, точное количество уточняйте. Цена действительна в день заказа. Доставка только в будние дни. Выходные дни в сроке заказа не учитываются.;D-Link;"ООО ""АйТи Дистрибуция"". Минский район, Боровлянский сельсовет, 103/3-7;";"ЧП ""МобиЛАБ СЦ"". г. Минск, ул. Толбухина, 2А";12;5;7;Да;;Нет;;Нет;0;Нет;Нет
2959675;DSL-модемы и маршрутизаторы;Mikrotik;CCR2004-16G-2S+;CCR2004-16G-2S+;;1819,69;BYN;Опт. Цены с НДС. Товары в наличии 1 шт, точное количество уточняйте. Цена действительна в день заказа. Доставка только в будние дни. Выходные дни в сроке заказа не учитываются.;Mikrotik;"ООО ""АйТи Дистрибуция"". Минский район, Боровлянский сельсовет, 103/3-7;";"ЧП ""МобиЛАБ СЦ"". г. Минск, ул. Толбухина, 2А";12;6;8;Да;;Нет;;Нет;0;Нет;Нет
4194656;DSL-модемы и маршрутизаторы;Mikrotik;CCR2004-16G-2S+PC;CCR2004-16G-2S+PC;;1819,69;BYN;Опт. Цены с НДС. Товары в наличии 1 шт, точное количество уточняйте. Цена действительна в день заказа. Доставка только в будние дни. Выходные дни в сроке заказа не учитываются.;Mikrotik;"ООО ""АйТи Дистрибуция"". Минский район, Боровлянский сельсовет, 103/3-7;";"ЧП ""МобиЛАБ СЦ"". г. Минск, ул. Толбухина, 2А";12;6;8;Да;;Нет;;Нет;0;Нет;Нет
2241499;DSL-модемы и маршрутизаторы;Mikrotik;CCR2004-1G-12S+2XS;CCR2004-1G-12S+2XS;;2650,70;BYN;Опт. Цены с НДС. Товары в наличии 1 шт, точное количество уточняйте. Цена действительна в день заказа. Доставка только в будние дни. Выходные дни в сроке заказа не учитываются.;Mikrotik;"ООО ""АйТи Дистрибуция"". Минский район, Боровлянский сельсовет, 103/3-7;";"ЧП ""МобиЛАБ СЦ"". г. Минск, ул. Толбухина, 2А";12;8;10;Да;;Нет;;Нет;0;Нет;Нет
